date,timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,returns,sma_20,sma_50,ema_12,ema_26,macd,signal,rsi,bollinger_upper,bollinger_middle,bollinger_lower,atr
2024-01-03,1704240000000,44946.91,45500.0,40750.0,42845.23,81194.55173,1704326399999,3507104563.74423210,2658041,39103.99162000,1687665202.95131440,0,BTC,-0.04675916542427505,42963.0185,40936.3082,43149.67663812282,42513.489828435115,636.1868096877079,748.6485088708373,45.95945821323388,44786.73443999126,42963.0185,41139.302560008735,1611.9135714285715
2024-01-04,1704326400000,42845.23,44729.58,42613.77,44151.1,48038.06334,1704412799999,2095095359.49363480,1819944,23605.90059000,1030075267.83901300,0,BTC,0.030478772082679795,43073.5585,41062.1662,43303.74177071931,42634.79428558807,668.9474851312407,732.708304122918,51.27941595302999,44904.25677804334,43073.5585,41242.86022195666,1694.783571428572
2024-01-05,1704412800000,44151.1,44357.46,42450.0,44145.11,48075.25327,1704499199999,2100953924.36871550,2064845,24015.06426000,1049655019.14000940,0,BTC,-0.00013567045894657959,43166.9125,41221.7982,43433.18303676249,42746.66952369265,686.51351306984,723.4693459123024,50.7856977747711,45017.1172975614,43166.9125,41316.707702438594,1760.6221428571432
2024-01-06,1704499200000,44145.12,44214.42,43397.05,43968.32,17835.06144,1704585599999,781212883.49160610,956642,9048.57073000,396341787.36387760,0,BTC,-0.00400474707164622,43296.596,41368.8862,43515.51180033749,42837.16215156727,678.3496487702214,714.4454064838862,51.19734403397331,44973.3200883449,43296.596,41619.87191165509,1769.1785714285713
2024-01-07,1704585600000,43968.32,44480.59,43572.09,43929.02,23023.8508,1704671999999,1014635096.12414820,1109259,11613.52347000,511871007.52582630,0,BTC,-0.0008938253724500855,43360.157,41516.1046,43579.12844643941,42918.04051071043,661.0879357289814,703.7739123329053,54.48864528632875,45031.2906962995,43360.157,41689.0233037005,1730.7857142857142
2024-01-08,1704672000000,43929.01,47248.99,43175.0,46951.04,72814.57589,1704758399999,3298772150.68150740,2364464,38728.80530000,1755312207.66818340,0,BTC,0.06879324874536241,43593.9095,41707.9282,44097.88407006412,43216.781213620765,881.1028564433582,739.2397011549959,63.100717899667956,45836.62801989293,43593.9095,41351.19098010707,1944.5071428571428
2024-01-09,1704758400000,46951.04,47972.0,44748.67,46110.0,69927.66617,1704844799999,3251442072.80839630,2637745,34825.45429000,1620151226.33626950,0,BTC,-0.01791312822889546,43715.963,41881.1526,44407.44036697734,43431.093716315525,976.3466506618133,786.6610910563595,64.22845050009995,46225.67581221414,43715.963,41206.25018778587,2035.0964285714285
2024-01-10,1704844800000,46110.0,47695.93,44300.36,46653.99,89911.41203,1704931199999,4123809481.71276720,3133588,46910.79439000,2153126701.35216420,0,BTC,0.011797657774886172,43855.572499999995,42099.399399999995,44753.06338744236,43669.82677436622,1083.2366130761366,845.976195460315,63.13323896815093,46689.188206640385,43855.572499999995,41021.956793359604,2164.9007142857145
2024-01-11,1704931200000,46654.0,48969.48,45606.06,46339.16,87470.3296,1705017599999,4105139605.02830200,2998451,44076.16830000,2070467939.65999250,0,BTC,-0.006748190240534524,43974.0785,42278.0158,44997.07825091277,43867.555161450204,1129.5230894625638,902.6855742607648,66.09528421899887,47018.106438430674,43974.0785,40930.05056156933,2294.7321428571436
2024-01-12,1705017600000,46339.16,46515.53,41500.0,42782.73,86327.93707,1705103999999,3827483735.57605690,2809192,41707.58066000,1850840878.97782980,0,BTC,-0.07674783056058854,43928.107,42387.7848,44656.409289233874,43787.197742083525,869.2115471503494,895.9907688386818,52.42015431535244,47016.867880108155,43928.107,40839.34611989185,2523.627142857143
